"Country Name","Series Name","Employment Ratio","GDP","Gini Coefficient","Annual Inflation","Annual GHG Emissions","Annual PM2.5 Exposure","Natural Disasters","Died","Died per 100K","Died Cancer","Died Cancer per 100K","Died Lower Resp","Died Lower Resp per 100K","Life Expectancy"
"Mexico",1974,,7.2e+10,,23.78401544,290020480,,1,433104,747.1586669,20912,36.07582022,56547,97.5506602,62.4588
"Mexico",1975,,8.8e+10,,14.94453464,306010460,,1,433926,727.9666188,21613,36.25858449,53620,89.95443947,62.8105
"Mexico",1976,,88875923765.07,,15.82472249,333819780,,2,454112,741.501896,22601,36.90429751,60942,99.50983138,63.1235
"Mexico",1977,,81912018783.5,,29.06412471,348047300,,1,448261,712.9977598,23982,38.14543821,49685,79.02827526,63.4339
"Mexico",1978,,102648570299.12,,17.45729257,377843360,,3,416424,645.669968,24216,37.54717294,43093,66.81616797,63.7779
"Mexico",1979,,134531900898.93,,18.1912463,409027140,,2,425976,644.2088554,26076,39.43506234,41317,62.48421807,64.1886
"Mexico",1980,,205577055465.99,,26.35165136,449387900,,4,432547,638.3386098,26375,38.92335592,40080,59.14874333,64.7026
"Mexico",1981,,263797827860.49,,27.9337626,475089280,,2,421762,591.9441743,27957,39.23772953,35791,50.23277095,65.3132
"Mexico",1982,,184602611609.52,,58.91341985,538636160,,6,409777,560.4132904,29415,40.2281166,29968,40.98440246,65.9747
"Mexico",1983,,156167000432.99,,101.8749384,494706620,,3,410860,547.0620348,30566,40.69877368,28944,38.53907301,66.6439
"Mexico",1984,,184230754105.39,0.4852701,65.44880713,501714800,,2,407278,547.765418,31784,42.74764668,29099,39.13647656,67.2904
"Mexico",1985,,195241069482.08,,57.7484484,504887420,,1,410937,517.7159055,34844,43.89795276,28003,35.27937008,67.8739
"Mexico",1986,,134556034672.99,,86.23331699,560502600,,1,396561,488.351559,35930,44.24658884,22840,28.12669327,68.3876
"Mexico",1987,,147542558208.89,,131.8273839,568819460,,3,404699,511.577843,37330,47.18865349,22577,28.53946504,68.8435
"Mexico",1988,,181611150496.79,,114.1622585,594420700,,5,411462,508.7062954,39292,48.57821077,20913,25.85554621,69.2532
"Mexico",1989,,221403098266.77,0.50112903,20.00787671,638835700,,3,421836,510.2278775,40555,49.05292951,24408,29.52247327,69.6226
